GSA SFP Name,GSA SFP Key,NIST Name,NIST Category,Treasury Bureau Name,Treasury Agency Short Name,OMB Name,OMB Category,OMB Sub-Category,Parent,GSA SFP Entity Type,OMB Agency Code,OMB Bureau Code,Treasury Agency Code,Treasury Bureau Code,CGAC Agency Code,NIST Agency Code,NIST Bureau Code,OMB Agency Code Owner,OMB Bureau Code Owner,Treasury Agency Code Owner,Treasury Bureau Code Owner,CGAC Agency Code Owner,NIST Agency Code Owner,NIST Bureau Code Owner
Federal Legislative Branch,1,THE LEGISLATIVE BRANCH,,,,,,,[Branch],Agency,,,,,,00,00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Congress,2,"Congress, generally, no additional specification available",Congress,UNITED STATES CONGRESS,CONGRESS,,,,Federal Legislative Branch,Agency,,,00,00,000,00,01,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
US Senate,3,"Senate, The",Congress,,,Senate,Legislative Branch,,US Congress,Agency,001,05,00,19,000,00,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
US House of Representatives,4,"House of Representatives, The",Congress,,,House of Representatives,Legislative Branch,,US Congress,Agency,001,10,00,05,000,00,50,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Joint House and Senate Entities,5,Joint House and Senate Entities,Congress,,,,,,US Congress,Carrier,,,00,00,000,00,99,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Architect of the Capitol,6,Architect of the Capitol,Major Legislative Agencies,,,Architect of the Capitol,Legislative Branch,,Federal Legislative Branch,Agency,001,15,01,,001,01,00,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
US Congressional Budget Office (CBO),7,Congressional Budget Office,Major Legislative Agencies,,,Congressional Budget Office,Legislative Branch,,Federal Legislative Branch,Agency,001,14,08,,008,08,00,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
US Government Accountability Office (GAO),8,General Accounting Office,Major Legislative Agencies,,,Government Accountability Office,Legislative Branch,,Federal Legislative Branch,Agency,001,35,05,,005,05,00,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Comptroller General of the United States,9,Comptroller General of the United States,Major Legislative Agencies,,,,,,US Government Accountability Office (GAO),Bureau,001,35,05,,005,05,01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"GAO, except Comptroller General",10,"GAO, except Comptroller General",Major Legislative Agencies,,,,,,US Government Accountability Office (GAO),Carrier,001,35,05,,005,05,59,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Government Printing Office (GPO),11,Government Printing Office,Major Legislative Agencies,,,Government Printing Office,Legislative Branch,,Federal Legislative Branch,Agency,001,30,04,,004,04,00,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
US Library of Congress,12,Library of Congress,Major Legislative Agencies,,,Library of Congress,Legislative Branch,,Federal Legislative Branch,Agency,001,25,03,,003,03,00,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Library of Congress Trust Fund Board,13,Library of Congress Trust Fund Board,Associated Federal Organizations,,,,,,Independent Federal Agencies,Ind Agency,,,95,00,,03,61,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Federal Library & Information Center Committee,14,Federal Library & Information Center Committee,Associated Federal Organizations,,,,,,Federal Legislative Branch,Bureau,,,,,,03,63,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Tax Court,15,U.S. Tax Court,Associated Federal Organizations,UNITED STATES TAX COURT,USTAXCT,United States Tax Court,Legislative Branch,,Federal Legislative Branch,Agency,001,40,23,00,023,23,00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
US Court of Appeals for Veterans Claims (CAVC),16,U.S. Court of Appeals for Veterans Claims,Associated Federal Organizations,,,United States Court of Appeals for Veterans Claims,Other Independent Agencies,,Federal Legislative Branch,Agency,345,00,95,39,345,95,93,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
US Botanic Garden,17,Botanic Garden,Smaller Legislative Agencies,,,Botanic Garden,Legislative Branch,,Federal Legislative Branch,Agency,001,18,09,,009,09,02,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
US Commission on Security and Cooperation in Europe (CSCE),18,Commission on Security and Cooperation in Europe,Smaller Legislative Agencies,,,,,,Federal Legislative Branch,Agency,,,00,,009,09,01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
John C. Stennis Center for Public Service Training and Development,19,John C. Stennis Center for Public Service Training and Development,Smaller Legislative Agencies,,,,,,Federal Legislative Branch,Agency,,,00,,009,09,14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Permanent Committee for the Oliver Wendell Holmes Devise,21,Permanent Committee for the Oliver Wendell Holmes Devise,Smaller Legislative Agencies,,,,,,Federal Legislative Branch,Agency,,,,,,09,62,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Capitol Preservation Commission,22,U.S. Capitol Preservation Commission,Smaller Legislative Agencies,,,,,,Federal Legislative Branch,Agency,,,00,,009,09,29,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Federal Judicial Branch,23,THE JUDICIAL BRANCH,,JUDICIARY,JUDICIARY,Judicial Branch,Judicial Branch,,[Branch],Agency,002,00,10,00,010,10,00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Supreme Court of the United States,24,Supreme Court of the United States,,UNITED STATES SUPREME COURT,JUDICIARY,Supreme Court of the United States,Judicial Branch,,Federal Judicial Branch,Agency,002,05,10,19,010,10,01,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Chief Justice of the United States,25,Chief Justice of the United States,,,,,,,Supreme Court of the United States,Bureau,002,05,10,19,010,10,50,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Associate Justices of the Supreme Court,26,Associate Justices of the Supreme Court,,,,,,,Supreme Court of the United States,Bureau,002,05,10,19,010,10,51,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Supreme Court, except Justices",27,"Supreme Court, except Justices",,,,,,,Supreme Court of the United States,Carrier,002,05,10,19,010,10,59,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Judicial Conference of the United States,28,Judicial Conference of the United States,Associated Federal Organization,,,,,,Federal Judicial Branch,Agency,002,,10,00,010,10,60,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Courts of Appeals for Judicial Circuits,29,U.S. Courts of Appeals-Judicial Circuits,Associated Federal Organization,UNITED STATES COURTS OF APPEALS,JUDICIARY,"Courts of Appeals, District Courts, and other Judicial Services",Judicial Branch,,US Courts of Appeals (COA),Agency,002,25,10,11,010,10,02,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
US Court of Appeals for the Federal Circuit,30,U.S. Court of Appeals for the Federal Circuit,Associated Federal Organization,UNITED STATES COURT OF APPEALS FOR THE FEDERAL CIRCUIT,JUDICIARY,United States Court of Appeals for the Federal Circuit,Judicial Branch,,US Courts of Appeals (COA),Agency,002,07,10,17,010,10,03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
US Court of International Trade (USCIT),31,U.S. Court of International Trade,Associated Federal Organization,UNITED STATES CUSTOMS COURTS,JUDICIARY,United States Court of International Trade,Judicial Branch,,Federal Judicial Branch,Agency,002,15,10,15,010,10,04,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
US Court of Federal Claims,32,U.S. Court of Federal Claims,Associated Federal Organization,UNITED STATES CLAIMS COURT,JUDICIARY,,,,Federal Judicial Branch,Agency,002,,10,13,010,10,05,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
US District and Territorial Courts,33,U.S. District and Territorial Courts,Associated Federal Organization,,,"Courts of Appeals, District Courts, and other Judicial Services",,,Federal Judicial Branch,Agency,002,25,10,00,010,10,12,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
US Judicial Panel on Multidistrict Litigation,34,U.S. Judicial Panel on Multidistrict Litigation,Associated Federal Organization,JUDICIAL PANEL ON MULTI-DISTRICT LEGISLATION,JUDICIARY,,,,Federal Judicial Branch,Agency,002,,10,21,010,10,18,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
US Bankruptcy Courts,35,Bankruptcy Courts,Associated Federal Organization,UNITED STATES BANKRUPTCY COURT,JUDICIARY,,,,Federal Judicial Branch,Agency,002,,10,07,010,10,21,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Federal Public Defenders,36,Federal Public Defenders,Associated Federal Organization,PUBLIC DEFENDER SERVICE,JUDICIARY,,,,Federal Judicial Branch,Agency,002,,10,02,010,10,23,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Court Security,37,Court Security,Associated Federal Organization,,,,,,Federal Judicial Branch,Agency,002,,10,00,010,10,25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Administrative Office of the United States Courts (AOUSC),38,Administrative Office of the U.S. Courts,Associated Federal Organization,ADMINISTRATIVE OFFICE OF U.S. COURTS,JUDICIARY,Administrative Office of the United States Courts,Judicial Branch,,Federal Judicial Branch,Agency,002,26,10,01,010,10,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Federal Judicial Center (FJC),39,Federal Judicial Center,Associated Federal Organization,FEDERAL JUDICIAL CENTER,JUDICIARY,Federal Judicial Center,Judicial Branch,,Federal Judicial Branch,Agency,002,30,10,20,010,10,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
US Sentencing Commission (USSC),40,United States Sentencing Commission,Associated Federal Organization,,,United States Sentencing Commission,Judicial Branch,,Federal Judicial Branch,Agency,002,39,10,00,010,10,30,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Federal Executive Branch,41,,,,,,,,[Branch],Agency,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
